geo_name,geo_sumlevel,geo_id,income_below_poverty_2013,income_below_poverty_2014,income_below_poverty_2015,income_below_poverty:pop_poverty_status_2013,income_below_poverty:pop_poverty_status_2014,income_below_poverty:pop_poverty_status_2015,income_below_poverty:pop_poverty_status_2016,income_below_poverty_2016,pop_poverty_status_2013,pop_poverty_status_2014,pop_poverty_status_2015,pop_poverty_status_2016
"Autauga County, AL",county,05000US01001,6615,7006,7057,0.121333846915754,0.128052346834332,0.128793824028617,0.122660170702224,6697,54519,54712,54793,54598
"Baldwin County, AL",county,05000US01003,25752,25988,25798,0.139407226958993,0.137767976420196,0.134116607314601,0.129937957689178,25551,184725,188636,192355,196640
"Barbour County, AL",county,05000US01005,6512,5832,6421,0.266568422776209,0.240842453024984,0.267274392274392,0.263736728564782,6235,24429,24215,24024,23641
"Bibb County, AL",county,05000US01007,3898,3596,3488,0.181378251361035,0.17042654028436,0.167958780757933,0.16453914478474,3390,21491,21100,20767,20603
"Blount County, AL",county,05000US01009,9023,9866,9552,0.158112394203305,0.172836045757931,0.167209326751392,0.165344401828403,9441,57067,57083,57126,57099
"Bullock County, AL",county,05000US01011,2211,2085,2486,0.215896885069817,0.205358022259431,0.246187363834423,0.268662596021272,2728,10241,10153,10098,10154
"Butler County, AL",county,05000US01013,5776,5239,5094,0.28439192516002,0.259253760886778,0.253647363441717,0.256595084346999,5126,20310,20208,20083,19977
"Calhoun County, AL",county,05000US01015,25105,24794,23325,0.218637056390159,0.2171654798504,0.205322089399834,0.196423817552578,22135,114825,114171,113602,112690
"Chambers County, AL",county,05000US01017,8114,8051,7273,0.241093448224632,0.239235729355481,0.215899308338528,0.203116138853237,6805,33655,33653,33687,33503
"Cherokee County, AL",county,05000US01019,5415,5370,4918,0.211962265628058,0.210143226109415,0.192297165200391,0.164461024936187,4188,25547,25554,25575,25465
"Chilton County, AL",county,05000US01021,8443,8128,8288,0.195168747110495,0.187756987756988,0.191488378540733,0.202743585598485,8779,43260,43290,43282,43301
"Choctaw County, AL",county,05000US01023,2904,2867,3093,0.214967799244948,0.214595808383234,0.234282684441751,0.209533267130089,2743,13509,13360,13202,13091
"Clarke County, AL",county,05000US01025,7416,6757,6107,0.293273223395421,0.270193538067818,0.247417250739375,0.246359620418848,6023,25287,25008,24683,24448
"Clay County, AL",county,05000US01027,2540,2481,2201,0.189665471923536,0.186597472924188,0.166502761177094,0.167480543262628,2195,13392,13296,13219,13106
"Cleburne County, AL",county,05000US01029,2728,2691,2508,0.184498850263763,0.181480981926086,0.16972321851526,0.196183620806736,2889,14786,14828,14777,14726
"Coffee County, AL",county,05000US01031,9238,9403,8581,0.185505733046848,0.187819590923618,0.170827361044752,0.163545915829271,8219,49799,50064,50232,50255
"Colbert County, AL",county,05000US01033,9651,9860,9406,0.178940927800645,0.182667012486569,0.174201314936568,0.165275459098498,8910,53934,53978,53995,53910
"Conecuh County, AL",county,05000US01035,4264,4256,4320,0.326993865030675,0.329207920792079,0.337790288529205,0.325384249722706,4107,13040,12928,12789,12622
"Coosa County, AL",county,05000US01037,2280,2190,2073,0.208944281524927,0.199945220487538,0.192837209302326,0.153377155377727,1610,10912,10953,10750,10497
"Covington County, AL",county,05000US01039,7446,7479,7515,0.199957033138192,0.200875590889557,0.202184616212435,0.18994488869678,7031,37238,37232,37169,37016
"Crenshaw County, AL",county,05000US01041,2621,2358,2288,0.190562745383161,0.171753223104378,0.16677600408193,0.181818181818182,2484,13754,13729,13719,13662
"Cullman County, AL",county,05000US01043,14903,14354,14814,0.187728314816214,0.180369686231638,0.185441572260124,0.171205351571275,13718,79386,79581,79885,80126
"Dale County, AL",county,05000US01045,8448,9114,9306,0.173616391623338,0.187245757488598,0.191386969397828,0.204745748686334,9897,48659,48674,48624,48338
"Dallas County, AL",county,05000US01047,15143,15163,14580,0.35502778233653,0.359023535540086,0.350076834421821,0.343000366793006,14027,42653,42234,41648,40895
